attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team,league_home_team_runs
,PIT/PIT202009030,"Thursday, Sep 3",2020-09-03,1,Day,37,3:16,-3.5,9,Away,Mills,PIT,1,22-15,Loss,6,2,,-,Brubaker,PIT,CHC,6,2,Chicago Cubs,179,163,0.43243243243243246,PIT,
,CHN/CHN202009040,"Friday, Sep 4",2020-09-04,1,Night,38,3:05,-4.5,9,Home,Flaherty,STL,1,23-15,Win,1,4,Jeffress,+,Darvish,CHC,STL,4,1,Chicago Cubs,183,164,0.5,CHC,
,CHN/CHN202009051,"Saturday, Sep 5 (1)",2020-09-05,1,Day,39,2:40,-2.5,7,Home,Alzolay,STL,1,23-16,Loss,4,2,Gallegos,-,Wainwright,CHC,STL,2,4,Chicago Cubs,185,168,0.4358974358974359,STL,
,CHN/CHN202009052,"Saturday, Sep 5 (2)",2020-09-05,2,Night,40,2:16,-2.5,7,Home,Rea,STL,1,23-17,Loss,5,1,,--,Helsley,CHC,STL,1,5,Chicago Cubs,186,173,0.325,STL,
,CHN/CHN202009060,"Sunday, Sep 6",2020-09-06,1,Night,41,3:17,-1.5,9,Home,Lester,STL,1,23-18,Loss,7,3,,---,Hudson,CHC,STL,3,7,Chicago Cubs,189,180,0.21951219512195122,STL,
,CHN/CHN202009070,"Monday, Sep 7",2020-09-07,1,Day,42,2:51,-2.5,9,Home,Oviedo,STL,1,24-18,Win,1,5,,+,Hendricks,CHC,STL,5,1,Chicago Cubs,194,181,0.30952380952380953,CHC,
,CHN/CHN202009080,"Tuesday, Sep 8",2020-09-08,1,Night,43,2:36,-3.0,9,Home,Mahle,CIN,1,25-18,Win,0,3,Jeffress,++,Mills,CHC,CIN,3,0,Chicago Cubs,197,181,0.37209302325581395,CHC,
,CHN/CHN202009090,"Wednesday, Sep 9",2020-09-09,1,Night,44,2:54,-2.5,9,Home,Darvish,CIN,1,25-19,Loss,3,0,Iglesias,-,Bauer,CHC,CIN,0,3,Chicago Cubs,197,184,0.29545454545454547,CIN,
,CHN/CHN202009100,"Thursday, Sep 10",2020-09-10,1,Night,45,4:07,-3.0,9,Home,Gray,CIN,1,26-19,Win,5,8,Jeffress,+,Ryan,CHC,CIN,8,5,Chicago Cubs,205,189,0.35555555555555557,CHC,
,MIL/MIL202009110,"Friday, Sep 11",2020-09-11,1,Night,46,2:50,-3.0,9,Away,Wick,MIL,1,26-20,Loss,1,0,,-,Hader,MIL,CHC,1,0,Chicago Cubs,205,190,0.32608695652173914,MIL,
,MIL/MIL202009120,"Saturday, Sep 12",2020-09-12,1,Night,47,2:42,-3.0,9,Away,Hader,MIL,1,27-20,Win,2,4,Kimbrel,+,Adam,MIL,CHC,2,4,Chicago Cubs,209,192,0.3617021276595745,CHC,
,MIL/MIL202009130,"Sunday, Sep 13",2020-09-13,1,Day,48,2:50,-4.0,9,Away,Houser,MIL,1,28-20,Win,0,12,,++,Mills,MIL,CHC,0,12,Chicago Cubs,221,192,0.6041666666666666,CHC,
,CHN/CHN202009150,"Tuesday, Sep 15",2020-09-15,1,Night,49,3:17,-5.0,9,Home,Perez,CLE,1,29-20,Loss,5,6,,+++,Jeffress,CHC,CLE,6,5,Chicago Cubs,227,197,0.6122448979591837,CLE,
,CHN/CHN202009160,"Wednesday, Sep 16",2020-09-16,1,Night,50,3:20,-5.5,10,Home,Maton,CLE,1,30-20,Loss,2,3,,++++,Adam,CHC,CLE,3,2,Chicago Cubs,230,199,0.62,CLE,
,WAS/WAS202007230,"Thursday, Jul 23",2020-07-23,1,Night,1,1:43,-0.5,6,Away,Scherzer,WSN,1,1-0,Win,1,4,,+,Cole,WSN,NYY,1,4,New York Yankees,4,1,3.0,NYY,
,WAS/WAS202007250,"Saturday, Jul 25",2020-07-25,1,Night,2,3:13,0.0,9,Away,Paxton,WSN,1,1-1,Loss,9,2,,-,Rainey,WSN,NYY,9,2,New York Yankees,6,10,-2.0,WSN,
,WAS/WAS202007260,"Sunday, Jul 26",2020-07-26,1,Day,3,3:07,0.0,9,Away,Doolittle,WSN,1,2-1,Win,2,3,Britton,+,Green,WSN,NYY,2,3,New York Yankees,9,12,-1.0,NYY,
,BAL/BAL202007290,"Wednesday, Jul 29",2020-07-29,1,Night,4,3:12,0.0,9,Away,Wojciechowski,BAL,1,3-1,Win,3,9,,++,Cole,BAL,NYY,3,9,New York Yankees,18,15,0.75,NYY,
,BAL/BAL202007300,"Thursday, Jul 30",2020-07-30,1,Night,5,3:06,-1.0,9,Away,Sulser,BAL,1,4-1,Win,6,8,Britton,+++,Loaisiga,BAL,NYY,6,8,New York Yankees,26,21,1.0,NYY,
